日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20241031,大同特殊鋼,5471,鉄鋼,0.0200%,TOPIX Mid400
20241031,日本高周波鋼業,5476,鉄鋼,0.0000%,TOPIX Small 2
20241031,日本冶金工業,5480,鉄鋼,0.0076%,TOPIX Small 1
20241031,山陽特殊製鋼,5481,鉄鋼,0.0050%,TOPIX Small 1
20241031,愛知製鋼,5482,鉄鋼,0.0067%,TOPIX Small 1
20241031,日本金属,5491,鉄鋼,0.0000%,TOPIX Small 2
20241031,ミガロホールディングス,5535,不動産業,0.0001%,TOPIX Small 2
20241031,大平洋金属,5541,鉄鋼,0.0034%,TOPIX Small 2
20241031,新日本電工,5563,鉄鋼,0.0047%,TOPIX Small 1
20241031,栗本鐵工所,5602,鉄鋼,0.0047%,TOPIX Small 2
20241031,虹技,5603,鉄鋼,0.0000%,TOPIX Small 2
20241031,日本鋳鉄管,5612,鉄鋼,0.0000%,TOPIX Small 2
20241031,日本製鋼所,5631,機械,0.0417%,TOPIX Mid400
20241031,三菱製鋼,5632,鉄鋼,0.0026%,TOPIX Small 2
20241031,日亜鋼業,5658,鉄鋼,0.0001%,TOPIX Small 2
20241031,日本精線,5659,鉄鋼,0.0027%,TOPIX Small 2
20241031,エンビプロ・ホールディングス,5698,鉄鋼,0.0014%,TOPIX Small 2
20241031,大紀アルミニウム工業所,5702,非鉄金属,0.0042%,TOPIX Small 1
20241031,日本軽金属ホールディングス,5703,非鉄金属,0.0128%,TOPIX Small 1
20241031,三井金属鉱業,5706,非鉄金属,0.0329%,TOPIX Mid400
20241031,東邦亜鉛,5707,非鉄金属,0.0021%,TOPIX Small 2
20241031,三菱マテリアル,5711,非鉄金属,0.0484%,TOPIX Mid400
20241031,住友金属鉱山,5713,非鉄金属,0.1449%,TOPIX Mid400
20241031,ＤＯＷＡホールディングス,5714,非鉄金属,0.0378%,TOPIX Mid400
20241031,古河機械金属,5715,非鉄金属,0.0059%,TOPIX Small 2
20241031,エス・サイエンス,5721,非鉄金属,0.0000%,TOPIX Small 2
20241031,大阪チタニウムテクノロジーズ,5726,非鉄金属,0.0101%,TOPIX Small 1
20241031,東邦チタニウム,5727,非鉄金属,0.0057%,TOPIX Small 1
20241031,ＵＡＣＪ,5741,非鉄金属,0.0189%,TOPIX Small 1
20241031,ＣＫサンエツ,5757,非鉄金属,0.0023%,TOPIX Small 2
20241031,古河電気工業,5801,非鉄金属,0.0341%,TOPIX Mid400
20241031,住友電気工業,5802,非鉄金属,0.2197%,TOPIX Large70
20241031,フジクラ,5803,非鉄金属,0.1641%,TOPIX Mid400
20241031,ＳＷＣＣ,5805,非鉄金属,0.0194%,TOPIX Small 1
20241031,カナレ電気,5819,非鉄金属,0.0001%,TOPIX Small 2
20241031,平河ヒューテック,5821,非鉄金属,0.0027%,TOPIX Small 2
20241031,いよぎんホールディングス,5830,銀行業,0.0490%,TOPIX Mid400
20241031,しずおかフィナンシャルグループ,5831,銀行業,0.0689%,TOPIX Mid400
20241031,ちゅうぎんフィナンシャルグループ,5832,銀行業,0.0315%,TOPIX Mid400
20241031,楽天銀行,5838,銀行業,0.0370%,TOPIX Mid400
20241031,京都フィナンシャルグループ,5844,銀行業,0.0728%,TOPIX Mid400
20241031,リョービ,5851,非鉄金属,0.0054%,TOPIX Small 1
20241031,アーレスティ,5852,非鉄金属,0.0002%,TOPIX Small 2
20241031,ＡＲＥホールディングス,5857,非鉄金属,0.0203%,TOPIX Small 1
20241031,東洋製罐グループホールディングス,5901,金属製品,0.0390%,TOPIX Mid400
20241031,ホッカンホールディングス,5902,金属製品,0.0025%,TOPIX Small 2
20241031,コロナ,5909,金属製品,0.0014%,TOPIX Small 2
