ticker,market_cap_mil_jpy,shares_outstanding,dividend_yield_pct,dividend_per_share_yen,per,pbr,eps_yen,bps_yen,roe_pct,equity_ratio_pct,min_lot_price_yen,trading_unit_shares,ytd_high_yen,ytd_high_date,ytd_low_yen,ytd_low_date,asof_date
8095.T,19850,41097566,3.73,18.0,10.82,0.75,44.64,647.22,-9.43,38.9,48300,100,540,2025-10-09,387,2025-04-07,2025-10-24
8097.T,139194,66000000,4.74,100.0,14.44,1.18,146.02,1783.8,7.49,54.8,210900,100,2190,2025-09-19,1478,2025-04-07,2025-10-24
8098.T,189879,53714127,3.62,128.0,9.81,0.92,360.24,3856.54,9.71,47.1,353500,100,3610,2025-09-09,2701,2025-04-07,2025-10-24
8101.T,29920,12629942,4.22,100.0,12.11,0.99,195.55,2399.34,8.2,37.6,236900,100,2445,2025-09-26,1631,2025-04-07,2025-10-24
8103.T,35815,40332400,4.28,38.0,11.9,0.95,74.63,939.2,8.79,51.5,88800,100,893,2025-10-24,593,2025-04-07,2025-10-24
8104.T,9833,16694496,3.06,18.0,9.8,0.56,60.12,1051.82,4.76,38.7,58900,100,702,2025-01-06,428,2025-04-07,2025-10-24
8107.T,11010,256039110,0.0,0.0,130.3,10.0,0.33,4.3,-4.49,11.2,4300,100,68,2025-02-17,28,2025-01-09,2025-10-24
8111.T,367320,142344516,2.25,58.0,13.89,3.22,185.81,802.15,23.24,73.2,258050,100,3096,2025-05-14,2330,2025-03-07,2025-10-24
8113.T,1832703,1862502957,1.83,18.0,20.28,2.26,48.53,436.0,11.14,62.3,98400,100,1364,2025-04-23,938,2025-10-02,2025-10-24
8114.T,333466,76924176,0.0,0.0,26.2,2.7,165.46,1607.52,11.29,75.3,433500,100,4445,2024-08-22,3015,2024-04-17,2025-01-23
8118.T,21551,24771561,2.07,18.0,19.33,0.62,45.01,1400.69,3.3,87.4,87000,100,889,2025-09-30,651,2025-01-30,2025-10-24
8125.T,95511,52021297,5.45,100.0,24.85,0.93,73.89,1978.83,3.9,68.9,183600,100,1913,2025-09-29,1497,2025-04-07,2025-10-24
8127.T,13037,21302936,2.29,14.0,62.64,0.72,9.77,845.76,0.83,74.3,61200,100,645,2025-10-23,294,2025-04-07,2025-10-24
8129.T,368781,73025942,1.78,90.0,20.12,1.23,251.0,4102.53,7.85,35.5,505000,100,5726,2025-09-09,3965,2025-02-05,2025-10-24
8130.T,183224,59200000,5.01,155.0,13.99,1.64,221.2,1892.56,11.44,61.5,309500,100,3220,2025-08-08,2608,2025-04-07,2025-10-24
8131.T,131526,57061223,2.43,56.0,14.78,1.32,155.93,1748.96,10.61,53.1,230500,100,2540,2025-08-12,1503,2025-04-07,2025-10-24
8132.T,77653,11946591,1.38,90.0,23.57,1.29,275.78,5028.46,5.81,52.1,650000,100,7270,2025-04-23,5210,2025-02-26,2025-10-24
8133.T,225113,116881106,3.22,62.0,13.58,1.26,141.87,1523.96,10.22,39.0,192600,100,2090,2025-08-08,1368,2025-04-07,2025-10-24
8136.T,1838429,255408303,0.83,60.0,35.96,15.39,200.15,467.69,48.63,52.9,719800,100,8685,2025-08-18,4937,2025-01-21,2025-10-24
8137.T,43848,16044000,4.39,120.0,15.9,0.88,171.94,3110.64,5.03,52.8,273300,100,2740,2025-10-22,1765,2025-04-07,2025-10-24
8141.T,31941,31010566,1.21,12.5,41.97,0.59,24.54,1731.98,0.94,64.6,103000,100,1113,2025-10-06,703,2025-04-11,2025-10-24
8142.T,37331,11012166,4.42,150.0,7.73,1.15,438.68,2939.36,15.48,34.8,339000,100,3665,2025-08-26,2486,2025-02-28,2025-10-24
8150.T,44790,16281373,5.09,140.0,9.22,0.85,298.43,3248.72,8.94,48.2,275100,100,2877,2025-09-25,1650,2025-04-07,2025-10-24
8151.T,44110,26085000,4.08,69.0,45.48,1.34,37.18,1263.28,8.97,71.6,169100,100,1714,2025-10-24,1170,2025-04-07,2025-10-24
8153.T,126119,32009910,0.76,30.0,41.92,2.22,93.99,1773.59,5.95,67.1,394000,100,4165,2025-08-12,3375,2025-04-07,2025-10-24
8154.T,188953,52486836,3.33,120.0,7.82,1.14,460.46,3165.14,10.78,54.4,360000,100,3640,2025-09-16,2183,2025-04-07,2025-10-24
8157.T,62153,18977894,3.05,100.0,13.2,1.36,248.19,2402.6,11.27,55.2,327500,100,3635,2025-09-26,1839,2025-04-07,2025-10-24
8158.T,22968,22968000,4.0,40.0,9.9,0.77,101.01,1298.64,7.44,40.3,100000,100,1190,2025-02-06,820,2025-04-07,2025-10-24
8159.T,71622,25025242,3.49,100.0,11.93,0.69,239.92,4159.24,7.51,57.4,286200,100,3050,2025-09-09,1957,2025-04-07,2025-10-24
8160.T,68734,28543889,1.25,30.0,33.24,2.31,72.44,1042.35,10.92,64.9,240800,100,2669,2025-09-26,1957,2025-04-07,2025-10-24
8163.T,48313,41470184,0.86,10.0,30.11,2.93,38.69,397.01,5.74,35.9,116500,100,1318,2025-08-20,1030,2025-04-07,2025-10-24
8165.T,12129,52056993,0.0,0.0,2.63,0.99,88.72,235.75,-23.81,52.2,23300,100,288,2025-05-13,221,2025-01-21,2025-10-24
8166.T,2904,28470822,0.0,0.0,10.01,2.22,10.19,45.94,,18.7,10200,100,152,2025-03-26,92,2025-04-07,2025-10-24
8167.T,63065,46646059,2.96,40.0,10.55,0.66,128.12,2038.03,6.31,66.7,135200,100,1529,2025-08-20,1162,2025-04-07,2025-10-24
8173.T,75908,28000000,3.69,100.0,25.03,0.68,108.33,3973.63,3.26,45.2,271100,100,2762,2025-10-23,1886,2025-04-07,2025-10-24
8174.T,308639,112827198,3.77,103.0,21.31,4.58,128.35,596.88,16.48,43.2,273550,100,2962,2025-08-20,2108,2025-01-17,2025-10-24
